,Admin2_Nam,Pcode_Ad_2
1,Kenieba,ML0104
2,Baroueli,ML0401
3,Kangaba,ML0203
4,Kati,ML0204
5,Nara,ML0207
6,Bankass,ML0502
7,Goundam,ML0602
8,Sikasso,ML0305
9,Segou,ML0406
10,Dioila,ML0202
11,Kolondieba,ML0303
12,San,ML0405
13,Tominian,ML0407
14,Koutiala,ML0304
15,Koro,ML0505
16,Gao,ML0703
17,Bourem,ML0702
18,Niono,ML0404
19,Koulikoro,ML0206
20,Bafoulabe,ML0101
21,Kita,ML0105
22,Bougouni,ML0301
23,Kayes,ML0103
24,Tombouctou,ML0605
25,Diema,ML0102
26,Yelimane,ML0107
27,Nioro,ML0106
28,Banamba,ML0201
29,Kolokani,ML0205
30,Yanfolila,ML0306
31,Macina,ML0403
32,Djenne,ML0503
33,Douentza,ML0504
34,Mopti,ML0506
35,Bandiagara,ML0501
36,Youwarou,ML0508
37,Tenenkou,ML0507
38,Niafunke,ML0604
39,Dire,ML0601
40,Yorosso,ML0307
41,Bla,ML0402
42,Kadiolo,ML0302
43,Bamako,ML0901
44,Gourma-Rharous,ML0603
45,Ansongo,ML0701
46,Menaka,ML1003
47,Anderamboukane,ML1001
48,Kidal,ML0802
49,Abeibara,ML0801
50,Tessalit,ML0803
51,Tin-Essako,ML0804
52,Inekar,ML1002
53,Tidermene,ML1004
