Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,admin3RefN
Kayes,ML01,Bafoulabe,ML0101,Tomora,ML010113,Tomora
Kayes,ML01,Bafoulabe,ML0101,Sidibela,ML010112,Sidibela
Kayes,ML01,Bafoulabe,ML0101,Niambia,ML010110,Niambia
Kayes,ML01,Bafoulabe,ML0101,Kontela,ML010107,Kontela
Kayes,ML01,Bafoulabe,ML0101,Diallan,ML010104,Diallan
Kayes,ML01,Bafoulabe,ML0101,Diakon,ML010103,Diakon
Kayes,ML01,Bafoulabe,ML0101,Bafoulabe,ML010101,Bafoulabe
Kayes,ML01,Kenieba,ML0104,Sitakily,ML010412,Sitakily
Kayes,ML01,Kenieba,ML0104,Sagalo,ML010411,Sagalo
Kayes,ML01,Kenieba,ML0104,Guenegore,ML010407,Guenegore
Kayes,ML01,Kenieba,ML0104,Baye,ML010401,Baye
Kayes,ML01,Kita,ML0105,Kita Commune,ML010513,Kita Commune
Kayes,ML01,Kita,ML0105,Niantanso,ML010524,Niantanso
Koulikouro,ML02,Kati,ML0204,Sobra,ML020434,Sobra
Kayes,ML01,Kita,ML0105,Makano,ML010522,Makano
Koulikouro,ML02,Kati,ML0204,Bossofala,ML020403,Bossofala
Koulikouro,ML02,Kati,ML0204,Mountougoula,ML020422,Mountougoula
Koulikouro,ML02,Kati,ML0204,N'gouraba,ML020424,Ngouraba
Sikasso,ML03,Bougouni,ML0301,Tiemala Banimonotie,ML030122,Tiemala-Baninomotie
Koulikouro,ML02,Koulikoro,ML0206,Tougouni,ML020609,Tougouni
Koulikouro,ML02,Koulikoro,ML0206,Dinandougou,ML020601,Dinandougou
Segou,ML04,Baroueli,ML0401,Boidie,ML040102,Boidie
Koulikouro,ML02,Koulikoro,ML0206,Nyamina,ML020606,Nyamina
Segou,ML04,Baroueli,ML0401,Tamani,ML040110,Tamani
Kayes,ML01,Kita,ML0105,Gadougou 1,ML010509,Gadougou 1
Kayes,ML01,Kita,ML0105,Djougoun,ML010508,Djougoun
Kayes,ML01,Kita,ML0105,Bougarybaya,ML010505,Bougarybaya
Kayes,ML01,Kita,ML0105,Badia,ML010501,Badia
Kayes,ML01,Kayes,ML0103,Fegui,ML010306,Fegui
Kayes,ML01,Kayes,ML0103,Kayes Commune,ML010312,Kayes Commune
Kayes,ML01,Kayes,ML0103,Tafacirga,ML010328,Tafacirga
Kayes,ML01,Kayes,ML0103,Sero Diamanou,ML010325,Sero Diamanou
Kayes,ML01,Kayes,ML0103,Segala,ML010324,Segala
Kayes,ML01,Kayes,ML0103,Sahel,ML010322,Sahel
Kayes,ML01,Kayes,ML0103,Sadiola,ML010321,Sadiola
Kayes,ML01,Kayes,ML0103,Logo,ML010318,Logo
Kayes,ML01,Kayes,ML0103,Koussane,ML010316,Koussane
Kayes,ML01,Kayes,ML0103,Hawa Dembaya,ML010310,Hawa Dembaya
Kayes,ML01,Kayes,ML0103,Faleme,ML010305,Faleme
Kayes,ML01,Kayes,ML0103,Djelebou,ML010304,Djelebou
Kayes,ML01,Kayes,ML0103,Diamou,ML010303,Diamou
Koulikouro,ML02,Kati,ML0204,N'tjiba,ML020427,Ntjiba
Kayes,ML01,Kita,ML0105,Kotouba,ML010518,Kotouba
Koulikouro,ML02,Kati,ML0204,Daban,ML020405,Daban
Kayes,ML01,Kita,ML0105,Kassaro,ML010512,Kassaro
Sikasso,ML03,Bougouni,ML0301,Bougouni Commune,ML030102,Bougouni Commune
Segou,ML04,Segou,ML0406,Souba,ML040629,Souba
Segou,ML04,Baroueli,ML0401,Somo,ML040109,Somo
Sikasso,ML03,Bougouni,ML0301,Sido,ML030120,Sido
Sikasso,ML03,Sikasso,ML0305,Nongo-Souala,ML030532,Nongo-Souala
Sikasso,ML03,Sikasso,ML0305,Kouoro,ML030524,Kouoro
Tombouctou,ML06,Tombouctou,ML0605,Bourem Inaly,ML060503,Bourem Inaly
Kayes,ML01,Kayes,ML0103,Colimbine,ML010302,Colimbine
Kayes,ML01,Kayes,ML0103,Goumera,ML010308,Goumera
Kayes,ML01,Diema,ML0102,Madiga Sacko,ML010214,Madiga Sacko
Kayes,ML01,Diema,ML0102,Lakamane,ML010212,Lakamane
Kayes,ML01,Diema,ML0102,Dieoura,ML010205,Dieoura
Kayes,ML01,Diema,ML0102,Diema,ML010204,Diema
Kayes,ML01,Diema,ML0102,Diangounte Camara,ML010202,Diangounte Camara
Kayes,ML01,Diema,ML0102,Bema,ML010201,Bema
Kayes,ML01,Diema,ML0102,Fatao,ML010208,Fatao
Kayes,ML01,Yelimane,ML0107,Toya,ML010711,Toya
Kayes,ML01,Yelimane,ML0107,Tringa,ML010712,Tringa
Kayes,ML01,Yelimane,ML0107,Kremis,ML010708,Kremis
Kayes,ML01,Yelimane,ML0107,Konsiga,ML010707,Konsiga
Kayes,ML01,Yelimane,ML0107,Kirane Kaniaga,ML010706,Kirane Kaniaga
Kayes,ML01,Yelimane,ML0107,Guidime,ML010705,Guidime
Kayes,ML01,Yelimane,ML0107,Fanga,ML010703,Fanga
Kayes,ML01,Yelimane,ML0107,Diafounou Gory,ML010702,Diafounou Gory
Kayes,ML01,Nioro,ML0106,Nioro Commune,ML010610,Nioro Commune
Kayes,ML01,Nioro,ML0106,Yerere,ML010615,Yerere
Kayes,ML01,Nioro,ML0106,Simbi,ML010613,Simbi
Kayes,ML01,Nioro,ML0106,Sandare,ML010612,Sandare
Kayes,ML01,Nioro,ML0106,Korera Kore,ML010609,Korera Kore
Kayes,ML01,Nioro,ML0106,Guetema,ML010607,Guetema
Kayes,ML01,Nioro,ML0106,Gogui,ML010606,Gogui
Kayes,ML01,Nioro,ML0106,Gavinane,ML010605,Gavinane
Kayes,ML01,Nioro,ML0106,Diarra,ML010603,Diarra
Kayes,ML01,Nioro,ML0106,Diabigue,ML010602,Diabigue
Kayes,ML01,Nioro,ML0106,Baniere Kore,ML010601,Baniere Kore
Koulikouro,ML02,Banamba,ML0201,Toukoroba,ML020109,Toukoroba
Koulikouro,ML02,Banamba,ML0201,Sebete,ML020107,Sebete
Koulikouro,ML02,Banamba,ML0201,Madina Sacko,ML020106,Madina Sacko
Koulikouro,ML02,Banamba,ML0201,Kiban,ML020105,Kiban
Koulikouro,ML02,Banamba,ML0201,Duguwolowula,ML020104,Duguwolowula
Koulikouro,ML02,Banamba,ML0201,Ben Kadi,ML020102,Ben Kadi
Koulikouro,ML02,Banamba,ML0201,Banamba,ML020101,Banamba
Koulikouro,ML02,Banamba,ML0201,Toubacoro,ML020108,Toubacoro
Koulikouro,ML02,Kangaba,ML0203,Karan Commune,ML020304,Karan Commune
Koulikouro,ML02,Kangaba,ML0203,Nouga,ML020308,Nouga
Koulikouro,ML02,Kangaba,ML0203,Narena,ML020307,Narena
Koulikouro,ML02,Kangaba,ML0203,Balan Bakama,ML020301,Balan Bakama
Koulikouro,ML02,Kangaba,ML0203,Benkadi,ML020302,Benkadi
Koulikouro,ML02,Kati,ML0204,Kati Commune,ML020418,Kati Commune
Koulikouro,ML02,Kati,ML0204,Siby,ML020433,Siby
Koulikouro,ML02,Kati,ML0204,Ouelessebougou,ML020428,Ouelessebougou
Segou,ML04,Segou,ML0406,Konodimini,ML040615,Konodimini
Sikasso,ML03,Bougouni,ML0301,Keleya,ML030111,Keleya
Sikasso,ML03,Bougouni,ML0301,Danou,ML030103,Danou
Sikasso,ML03,Sikasso,ML0305,Kabarasso,ML030514,Kabarasso
Koulikouro,ML02,Dioila,ML0202,Niantjila,ML020220,Niantjila
Koulikouro,ML02,Kati,ML0204,Nioumakana,ML020426,Nioumakana
Koulikouro,ML02,Kati,ML0204,Kalifabougou,ML020416,Kalifabougou
Koulikouro,ML02,Kati,ML0204,Doubabougou,ML020413,Doubabougou
Koulikouro,ML02,Kati,ML0204,Dio Gare,ML020410,Dio Gare
Koulikouro,ML02,Kati,ML0204,Diedougou,ML020409,Diedougou
Koulikouro,ML02,Kati,ML0204,Bougoula,ML020404,Bougoula
Koulikouro,ML02,Kati,ML0204,Moribabougou,ML020421,Moribabougou
Koulikouro,ML02,Kolokani,ML0205,Tioribougou,ML020510,Tioribougou
Koulikouro,ML02,Kolokani,ML0205,Ouolodo,ML020507,Ouolodo
Koulikouro,ML02,Kolokani,ML0205,Nossombougou,ML020506,Nossombougou
Koulikouro,ML02,Kolokani,ML0205,Nonkon,ML020505,Nonkon
Koulikouro,ML02,Kolokani,ML0205,Massantola,ML020504,Massantola
